n_samples,acc_pa,acc_ml,acc_si,gyr_pa,gyr_ml,gyr_si,side
3659,0.24795500485847688,0.9515716982485469,-8.649119571925558,15.350740412291415,11.652188413233134,-18.602959627682186,left
3660,0.050894089281926735,0.9333736054952008,-8.863250834149452,15.246913465042201,12.24783543224823,-14.24972872394388,left
3661,-0.05356221396661809,0.9383910053062176,-9.028284198537557,16.418321863965893,12.201971249031944,-11.244024737487742,left
3662,0.273314710688521,0.9610064800660397,-10.036049615329164,18.317652635947912,14.711339355616799,-9.38530669908874,left
3663,0.5026948379579239,1.0012734331408037,-10.816255536100838,16.989628454434737,18.454070897772706,-5.172536226121279,left
3664,0.8468539060386631,0.8710413481192824,-11.650255617217418,16.31798911494975,20.919257292293175,-0.253294140062728,left
3665,0.8357459975624897,0.5934264508443841,-11.917761956899184,16.222470061416242,24.464222506511724,4.4541102462881845,left
3666,0.5079785144726268,0.41156362003514835,-12.593811682153039,19.527971372078337,26.16686962946677,7.589487613826132,left
3667,0.23628396657130057,0.2420732054502762,-13.04184768932333,17.766073446108003,21.22839364582968,9.100810518936573,left
3668,0.782036285918708,-0.0394225921917854,-15.440013113323234,17.106738149730482,15.605936327040625,13.518307417455446,left
3669,-0.3823772341628078,-0.19546120440877626,-13.519285328535727,7.411638373796536,10.657897620530365,20.040896540885086,left
3670,-0.9601962448159358,-0.6607904347906333,-11.018336789262767,8.277374112083223,5.552999268935829,20.056246437802884,left
3671,-0.7633706153331916,-0.7316367431557221,-11.206273176432893,11.189224659826516,10.606831337032302,22.312720289852958,left
3672,-0.7295784087834538,-0.7916755961512061,-9.683169708273494,6.57316276184245,16.40320395490748,23.527533306765488,left
3673,-0.41002877728174436,-1.02912172421948,-9.695023956505251,5.016527083310771,22.51555080905456,24.58545608926899,left
3674,-0.4997560370942611,-1.347774315787881,-8.82605266895071,4.301346567327131,23.952889650677598,23.27168095262195,left
3675,-0.419303847241443,-1.5841888990346162,-9.58508760408158,9.06578921646416,19.103913393768597,21.980989467485017,left
3676,-0.3736778033274435,-1.559016904197016,-10.453413754046448,9.177793605910292,11.854927461804003,21.247005908468505,left
3677,-0.2054465818981499,-1.3989850450959287,-10.787305111638098,4.302972668611315,7.396598926391432,21.11403798700981,left
3678,-0.11400426002032926,-1.1702053767135587,-10.034488774831958,-4.46320218397817,6.042254098037613,21.813952341486974,left
3679,-0.015031759183852689,-0.9127841526225096,-9.263575659465868,-11.188805919259787,7.368535380697292,22.975455238870474,left
3680,0.06420544658312277,-0.6581128920984839,-8.31918731474812,-15.156382594890836,9.95230709627986,24.647919136953167,left
3681,0.316313546518187,-0.5392446348182318,-7.925445168194105,-14.293489861046101,12.45691515608727,26.00692604410877,left
3682,0.4844310982003941,-0.4478707873563344,-7.430766460723678,-12.510835088621349,15.926035928843945,25.853681310050124,left
3683,0.7192157705073527,-0.3472475803532479,-7.384225603673086,-9.584979312433926,19.11088291284968,25.852900151669658,left
3684,0.8023514353730565,-0.2832302759463887,-7.4442556850189145,-8.084268229021276,19.63650369838639,24.78747377166748,left
3685,0.9742977108644748,-0.2959397357911792,-7.705167998490428,-7.759124221190922,17.207480688531504,22.905354381168266,left
3686,1.0470788808836777,-0.27025764964690935,-7.873909229475824,-8.231905688137104,13.455310724677352,21.58200249371904,left
3687,1.081684121894529,-0.2627238916656407,-7.877128300652766,-8.470995868797456,9.748342859562804,21.176506582716613,left
3688,0.9194663547922153,-0.3212962949006879,-7.691651527688537,-8.610309072667633,7.653432509289831,20.15716044771074,left
3689,0.826183091470766,-0.3805625293450199,-7.995899445979537,-6.709976548638584,6.041477630803574,17.763573578413382,left
3690,0.8889270742437567,-0.43331069087467455,-8.764499191660496,-4.503496678933265,4.746624130728495,15.683832062341358,left
3691,1.1374824260859269,-0.414491285056525,-9.790541392369494,-1.5160325207280994,3.7003187193148808,12.877883939337002,left
3692,1.555403929448725,-0.3801799934972996,-10.702774658441287,-0.6523496422018087,4.6309296383198335,10.206907094426711,left
3693,1.6097442215224733,-0.41469339098595137,-11.481114070181864,-0.38251526164112004,7.006032818784203,9.03848658479723,left
3694,1.7698528070520245,-0.3405862603076339,-12.870934317473957,2.1397567152058823,8.679693424750445,9.098981547018983,left
